Review_name,Review_content,Date_of_review,Type_of_wine
2014 Chateau Palmer Alter Ego de Palmer,Chateau Palmer in the Margaux region of Bordeaux produces stunning wine. and this is the most affordable jumping off point into their wines that you’re going to find. The Alter Ego is priced at $59.99 at Costc. which is about $5 less than most online outlet. and $15 less than I saw it at Total Wine. And although it’s not chea. it really is worth the splurge; I found it to be gorgeous all aroun. and even though it’s rather youn. many of the ’14 Bordeaux are drinking pretty good right no. this one being a case in point. The Alter Ego is a left bank win. but the blend is right bank Merlot based coming in at 52% Merlo. 32% Cabernet Sauvignon and 13% Petit Verdot. The nose begins with ripe fruit and soil; flavors of red berrie. raspberry and cherr. a little col. and spice; finishes as dry as can be; a great ride from nose to finish. Although it’s drinking great no. this one can definitely be laid down in the cellar for a few more years. I tasted an ’09 Alter Ego last month that was absolutely delicious. At the pric. I’d say this wine is drinking at least 2X its pay grad. particularly comparing to Napa wines in the $100-$125 range. And while this second wine from Chateau Palmer is amazin. I’ve tried several of their estate wines and they are even more layere. structured and complex; and with a price tag to go with it. If you’re looking for a special bottle this holiday seaso. you won’t do much better for the money than this Alter Ego from Chateau Palmer. I’m a big fan. CostcoWineBlog.com Rating: 93 points (a CostcoWineBlog Top Pick. Costco item number: 1132466 ($59.99. Purchased at Costco in: Atlant. G. Alc. 13.5%,"December 26, 2018",French
2015 Scott Paul La Paulee Pinot Noir Willamette Valley,Finding this Oregon Pinot from Scott Paul was a pleasant surprise that was stuffed in the middle of the cheap seats (the wine aisle. not the wooden boxes). This is a high caliber Pinot with a retail price of $4. a standard Costco price of $3. and then an absolutely insane limited time discount of $13 that gets you out the door for only $16.99. I didn’t think too hard about dropping a couple in my cart. And now that I’m digging into i. I can confirm what I had hoped would be the cas. that this bottle tastes much more like a wine that you find for its full retail price tag. The wine is a combination of fruit from several quality vineyard. including fruit from Oregon’s famed Dundee Hill. which is a favorite of mine. Hop on over to the Scott Paul website and you can dig further into their single vineyard bottlings of some of the same frui. and the price tag almost doubles. This wine hit me right all around. It’s ligh. see through in the glass; fresh aromas of vanilla and cola; beautiful in the mouth; cherr. col. black licoric. some plum; a touch of baking spice and pepper in the finish; really a well constructe. elegant wine that leaves you wanting to take another drink immediately. I can’t think of a Pinot Noir under $20 that I’ve enjoyed more than this (and it’s probably because it technically isn’t an under $20 win. but for us lucky Costco buyer. it has that special price for a little bit longer). If you see this one in your Costc. I’d recommend buying a few as I imagine these will go fast.. CostcoWineBlog.com Rating: 91 points (a CostcoWineBlog Top Pick. Costco item number:106698. $16.9. Purchased at Costco in: Atlant. G. Alc. 13. We always want to hear from you. Let us know your thoughts on this wine or other Pinots you’ve enjoyed either in the comments below or over on the Costco Wine Blog forum.,"December 15, 2018",Pinot Noir
2014 Clos du Val Estate Cabernet Sauvignon Napa Valley,Clos du Val is a classic Napa producer and this 2014 bottle is just signatur. high quality Napa wine at a very special Costco price. But be ready to buy it if you see i. as the promo price is only good through the end of the year. As you can see Costco’s standard price of $42.99 is in itself pretty good for this bottl. especially considering Total Wine and Wine.com both sell it for $50. Now Costco’s bringing it down to $34.9. which is likely going to be hard to beat almost anywhere. It’s still not an inexpensive bottl. but this time of the yea. when you’re looking for something nice to bring to a Christmas party or want to impress one of your wine nerd friend. this is a pretty solid choice for the money. To that exten. if you’re looking to pay a little less for something nic. we just reviewed a lovely Barolo for $28 that was absolutely delicious too. Dark in the glass and huge in the mout. this is a bi. bold Cabernet that remains medium plus in body but is just packed with flavor; mostly dark frui. some black licorice and mocha surrounded by spices and cedar; strong powerful finish. This wine is just calling for a big juicy steak. 2014 was another great vintage in Nap. and I think this wine will only develop further with time. At this price with the steep discoun. this could be a good one to buy multiple bottles of and cellar them for a bit. I plan to buy a couple more if I see them again at Costco stores near me. I’ll try to hold on to them for another 5-7 years if they don’t get consumed before then. Another Top Pick for sure with this wine. That makes quite a string of winners so far in December. We also just published our Best of the Year list which includes a handful of other great wines to check out too. CostcoWineBlog.com Rating: 91 point. Costco item number: 8978. Purchased at Costco in: Atlant. G. Alc. 14.1. Have you tried the Clos du Val Cabernet? Or do you have other wine picks you’ve found at your local Costco? Let us know if the comments belo. or head on other to the Costco Wine Blog forums and see what other readers are talking about.,"December 12, 2018",Cabernet Sauvignon
2012 Kirkland Signature Ribera del Duero Gran Reserva,We’ve been hoping the Kirkland Ribera del Duero would hit stores soo. and what a nice little holiday trea. just like it was last year with the 2011 vintage. Look for the blue striped bands on the bottle’s neck and you’ll have no problem picking this one of the sea of Costco wines. This marks the second year for the Kirkland Riber. and it is every bit as good as the debut wine was a little over a year ago. The price bumped up $1 this year to $13.9. but it’s still an amazing value. I might say that even if I paid $20. This is one of those perfect “why I buy wine at Costco” example. access to Kirkland value buys from premier wine regions. The wine is 100% Tempranillo and carries the Gran Reserva aging designatio. which is the one you want. This means an extended aging period of 3-5 years in oak barrels and the bottle. To that exten. this wine is ready to drink no. but could also age for a bit more if you wanted (I still have a ’11 vintage in the cellar that I’ll open down the line for our Cellar Series). This wine is similar to the ’11 in style and qualit. and is made by the same producer in Spain. In the fine print on the back of the label you can see that this wine is produced byBodegas Vina Solorc. a well known estate in Ribera del Duer. whose lesser wines (non Gran Reserva) cost more than this one. Definitely give it a little decant to open up; the wine pours dark in the glass with slightly light edges indicating it has a touch of age on it. Nose of dried fruit; then sour cherr. nyquil/cough dro. a little anise and some oak towards the finish. Nice mouthfee. the wine is light but powerful. Spectacular mouth-coating finish that is ultra dry and lasts forever. This bottle is every bit as good as it’s been in year’s past. I’m keeping the rating consistent at 90 point. and highly recommend this one if you like red wine. particularly Spanish Rioja or Toro. CostcoWineBlog.com Rating: 90 points (a CostcoWineBlog Top Pick. Costco item number:116932. Purchased at Costco in: Atlant. G. Alc. 15%,"December 8, 2018",Kirkland Wines
2013 Casa E di Mirafiore Barolo,When browsing the wine aisles at Costc. you have to keep an eye out for wines like this Casa E di Mirafiore Barolo that are sometimes easy to miss alongside the Chianti and Brunello bottles they are frequently placed next to. Costco’s price was $28.9. which is fantastic for any Barol. and even better for a tasty one like this. Bounce over to Wine.com and you can see this wine would go for $38. It’s also worth noting the high scores for this wine across the boar. highlighted by a 96 point rating from Decanter. Indee. once I got into this on. it really is a beautiful wine at a price that’s hard to beat. In the glas. the wine is light and see through; Barolo is made from the Nebbiolo grape which looks similar to Pinot Noir in the glas. but it’s a grape that packs a ton of punch in the mouth. (if you want to take a deeper dive into the grapes and wines of Ital. feel free to check out our boo. Decoding Italian Wine). Really vibrant aroma. perfume and cherry on the nose; big as expected in the mouth with soft tannins and a good dose of acidity; flavors of sour cherr. plu. and strawberry rounded out by mocha and white chocolate notes towards the finis. which is bone dry. This is a delicious wine that paired perfectly with meatballs we prepared. It’s one of those ultra-versatile wines that really could pair with about anything. Improves with a little air; this is a nice buy on an elegant wine that feels (and tastes) like it should cost a bit more. We’ll be adding to our Top Picks lis. and if we get the chanc. might try to pop a couple in the cellar as I think they would really develop further in the years to come. CostcoWineBlog.com Rating: 91 points (a CostcoWineBlog Top Pick. Costco item number: 94833. $28.9. Purchased at Costco in: Atlant. G. Alc. 14%,"December 5, 2018",Italian
2012 Chateau Lynch-Bages Echo,Echo is the second bottle from Chateau Lynch-Bage. a Pauillac property that I’ve always been a big fan o. particularly their estate bottle. red and whit. that are absolutely spectacular. This is a good way to get a foot in the door though for a fraction of the price of the winery’s top bottles. Costco’s price was $36.99 which is really outstanding for this bottle. Searching onlin. I’m finding it everywhere from $45-$60. The blend is57% Cabernet Sauvigno. 33% Merlot and 10% Cabernet Franc. When I’m looking to save a buck on good Bordeau. I’ll frequently opt for a nearby property’s first bottle instead of a well known property’s second bottle because often times they can be priced pretty similar. But with Lynch-Bage. and another good Costco pic. the Alter Ego from Chateau Palme. you are getting access to world class winemaking operations; often times the main difference is that the second bottles use grapes from younger vines on the estat. and often contain a bit more Merlot in the blend. I think this bottle is outstanding for the mone. and reminiscent of Bordeaux that cost twice as much. The wine is stinky on the nos. signature Bordeaux barnyard smell. It’s medium in bod. drinking really nice right now; gentle and soft in the mouth; red fruit flavor with a hint of dark chocolat. super dry and nice oak into the finish. For anyone wanting to explore the world of Bordeaux wine. this is a nice entry point for moving above that $20-$25 range. You really get a lot for the mone. and I’d say the incremental gain in quality between an inexpensive Bordeaux and this bottle is much bigger than jumping from this wine to the estate bottles. Highly recommende. and I’ll put this bottle on our Top Picks list. I also plan to add a couple of these to the cellar to try in a few more years. CostcoWineBlog.com Rating: 90 point. Costco item number: 100935. $36.9. Purchased at Costco in: Atlant. G. Alc. 13%,"November 28, 2018",French
2015 Ritual Pinot Noir,I liked the exaggerated curve of the Burgundy bottle as wel. a hint to the style of Pinot Noir inside. These kinds of bottles are nice for presentation but annoying in that they don’t fit well into wine racks. Although wines from Chile are classified as New Worl. I have always felt that these wine. while fruit-forwar. have similar nuances as those from European countries. Chilean wines are earth. dr. and often a bit green. Finding one that strikes the right balance between underripe funk and juicy fruit can be difficul. albeit rewarding. Ritual Pinot Noir is just that. The nose is intense and perfumed with col. cherr. vanill. and raspberry jam. Moderately intense on the palat. the flavor mimics the nose. The wine is a little tigh. however fine tannins hint that it will improve and further develop over the next few years. The juice inside this bottle is evidence of Old-World winemaking method. and the back label describes “planting each vine and hand harvesting in small batches” in the same manner as “some of the world’s greatest Pinot Noir.. You mean like Pinot Noir fro. oh sa. France. While the fruity nose is a dead giveaway of a New World win. you know you’re not in California when you drink a glass of this. The finish is different. It’s drier and a little more complex than others in this price range. Savory qualities and mineral notes echo the Old-World winemaking attempt. James Suckling gives this wine 93 point. which honestly doesn’t mean much to me but I felt the need to note it anyways. The average price for this bottle online is around $2. so the $15.99 Costco price tag is definitely a significant savings. If I were to still casually stroll the wine aisles of Costco and offer suggestions to member. this one would definitely be on my list. CostcoWineBlog.com Rating: 91 Points (a CostcoWineBlog Top Pick. Costco Item Number: 30827. price: $15.9. Alcohol: 14%,"November 3, 2018",Pinot Noir
2017 Zolo Chardonnay Unoaked,I was happy to run into this Zolo Chardonnay from Mendoza at my Costco after hearing high praise for the wine from readers. At $7.99 the price was sure righ. and as it turned ou. the wine was amazing too. When Chardonnay is unoaked like thi. it really lets the fruit shine throug. and that’s exactly what we have here. This is the opposite side of the spectrum from the bi. buttery and woody Chardonnays you still seem to find a lot of. To that exten. it’s definitely a Chardonnay for white wine fans who don’t think they like Chardonnay. The wine pours a light golden yellow; the citrus fruit is pervasive right on the nose; I get a lot of aprico. appl. pineapple flavor; nice mouthfee. medium bodied and refreshing; the citrus fruit digs in through the finish with a touch of cream and vanilla to round things out. It’s hard to believe the price tag her. since from start to finish this is a really delicious wine. I only wish we had discovered this one earlier during the summer months as it would be the perfect wine for sitting on the beach or hanging poolside. If you can find i. I imagine you could stock up for next summe. if they don’t get consumed before then. This is not your typical Chardonnay; it almost shares more traits with some Sauvignon Blancs or an Albarino to a degree. And it’s worth mentioning that James Suckling went 93 points on this wine which is obviously really hig. and higher than I’ll g. but it speaks to the caliber of what we have in the bottle here. I’ll be adding this wine to our Top Picks lis. given it’s incredible price to quality ratio. Let us know what you think in the comments below or in the Costco Wine Forums. We love hearing from reader. so don’t hold back. It’s hearing from you that helps us find wines like this that we can in turn share with the entire community. CostcoWineBlog.com Rating: 89 points (a CostcoWineBlog Recommended Wine. Costco item number: 72459. Purchased at Costco in: Atlant. G. Alc. 13.5%,"October 17, 2018",Chardonnay
2017 Kirkland Signature Cotes du Rhone Villages,Wel. here’s why you shop at Costc. and like to buy wine there. Kirkland Signature wines are typically good values (although we’ve had a few skew the other way. but this Cotes du Rhone Village. similar to year’s pas. is once again a ridiculously good buy for only $6.99. Longtime readers will know this is one of the bottles we anxiously look for each yea. in hopes that it delivers the good. and then we move in and stock up for the wintertime. And that’s exactly what we plan to do. I’m enjoying this wine on a crisp Atlanta night as the weather begins to chang. with just a little Dubliner cheese (an equally good buy at Costco). And as I sit here enjoying this glas. I’m starting to think that I’m going to have to bump it up a point from past years; because for some reason this new ’17 vintage is really hitting me right. This wine is a classic Rhone GSM blend (Grenach. Syrah and Mourvedre) from a top name in the are. who’s listed on the back label. Patrick Lese. the winemaker her. has produced a number of wines in the Rhone area which can be viewed here. I would imagine this is among the least expensive in the portfoli. so it never hurts to have a pro behind the scenes especially when you’re paying $7. In Nap. $7 will get you little more than a mishmash of left over varietals from the outskirts blended together with a fancy label. Spic. peppery on the nos. classic Rhone wine; medium plus in bod. nice mouthfeel; mostly dark frui. blackberr. anis. dark chocolate notes; finish is spicy with pepper; and after a good decant everything came together a bit more cohesively. We went 87 points on the last vintag. with similar tasting note. but I’m going to bump it up to 88 this year with a solid Buy recommendation. This is some good juice for the money. CostcoWineBlog.com Rating: 88 Points (a CostcoWineBlog Top Pick. Costco item number: 88777. Purchased at Costco in: Atlant. G. Alc. 14%,"October 13, 2018",French
2015 Merryvale Chardonnay Carneros,The 2015 Merryvale Chardonnay is a real deal California Chardonnay priced way below what I would expect after tasting it. Although they are a Napa area staple (I frequently stop at the Gotts across the street for lunc. but haven’t made it to the winery yet. I always associated Merryvale with middle of the road wines. This Chardonnay is changing my perception. Next time I’m grabbing a burger across the stree. I plan to make my way over to the winery. Costco’s price is $23.9. which is quite a bit off the retail of $3. but I noticed K&amp;L (one the of the best online wine merchants) had it for $25 online. So Costco’s price is more than fai. and quite frankly well worth it for a wine of this complexity and dimension. Golden yellow on the pou. this wine has a little spice on the nos. and starts with big aromas of baked apple pie with cinnamo. into some green appl. lemon and lime flavors; it’s fairly hefty in the mouth leaning towards full in body; good acidity. The finish is dyno-mit. with a little bite and it sticks around forever. I know most people don’t decant white wine. but I’m going to recommend decanting this one. It really changed over the course of an hour from when I pulled the cork to when I had it poured in a few glasses with exposure. And the second round of pours released even more beauty. And the critics seems to agre. giving this one 90+ points across the board; the highest rating coming in at a whopping 94 points from Wine Enthusiast. I have a feeling Costco’s price on this wine might be among the best we’ll see. If this sounds like your type of Chardonnay you’re in luck. I have to admi. this one surprised m. in a good wa. with quite a big more going on than I expected. I’ll be adding to our Top Picks list (which has quite a few good Chardonnays on it lately; perfect for the fall months). One more note on this wine. This would be a nice white to put away for later as we enter the Thanksgiving and Christmas holiday months. When it’s cold ou. and you’re celebrating these holiday. a wimpy weak white just won’t hold up. This wine will. I plan to pop one of these out at the Thanksgiving tabl. alongside some other reds. CostcoWineBlog.com Rating: 92 point. Costco item number:13460. Purchased at Costco in: Atlant. G. Alc. 14.5. Let us know if you agree or disagree about this and other wines we review in theCostco Wine Blog Forums. We have a great community of Costco wine drinkers who follow this site. Don’t be bashful. Head over to the forums and share your opinions. They benefit all of us.,"October 6, 2018",Chardonnay
2012 12 Linajes Reserva Tempranillo Ribera del Duero,Long time readers will know that I love my Ribera del Duero wine. so when I see a new on. like the 12 Linaje. arrive in my Costco store. it’s almost a no brainer. I can’t think of a time in recent years when the Ribera wines at Costco didn’t deliver a lot of bang for the buck. And this one is a perfect example. This is a 94 point Wine Enthusiast bottle (also an Editor’s Choice) with a retail price of $40 that Costco is selling for $27.89. Exactly what I’m looking for to taste and share with you. Granted we enjoyed the wine with grilled steak (ye. we eat a lot of Green Egg steak in our household. but this wine was outstanding throughout the night; perfect with the mea. but the glasses we had following were excellen. maybe even better than the pairing since the wine had a little air time. Spic. earth. floral on the nose; big cherry flavor rounded out by some dark fruit; full bodied and powerful; a little of that old world dusty library book; and a dry sticky finish. This is an excellent wine that I would put up next to almost anything else in its price range. I think it’s drinking much closer to its retail pric. if not closer to $50-$60 range. Six years of age is helping it drink really nice right no. and I’d venture to say it will only improve further in the years to come. This is one of those examples of why buying wine at Costco is so much fun. At a major wine warehouse stor. a bottle like this could easily fall out of sigh. lost in the mix of racks and racks of win. and that would be a shame. At Costco howeve. it jumps out right awa. as a new offerin. from a premier are. and you know Costco is just giving you the goods at a great price. That’s the story here. Enjoy if you’re able to find it in stores near you. It’s worth every penny of its $28 price ta. and will be added to our Top Picks list. CostcoWineBlog.com Rating: 92 Point. Costco item number:125863. Purchased at Costco in: Atlant. G. Alc. 14.5. If you hung around this lon. then I’m guessing this wine sounded interesting to yo. and perhaps you are a fa. like m. of Spanish wines. We have a new book on Spanish wine going live very soon. I can’t wait to share it with you. If you enjoyed our Italian Wine boo. this new one is a big step up. Stay tuned. Als. remember that we have the Costco Wine Blog Forums where you can share your opinion of the wines we revie. as well as a host of other wine related topics. Check them out.,"October 3, 2018",Other Red
2015 Stonestreet Estate Vineyards Chardonnay Alexander Valley,I was super surprised to see this Stonestreet Chardonnay wine arrive in the bins at my Costco and at the highly discounted price of $25.99. Since retail on this wine is closer to $40-$45 that’s a steep Costco discount on a wine that I’ve had previously on two separate occasion. and absolutely loved it. This wine (vin. 2014 I think) was actually part of my local monthly wine club last year (ye. I think it’s important to support the small local guys too). Before tasting i. I passed it off at first as just another California Chardonna. expecting the usual overabundance of oak and butter masking most of the flavor. I couldn’t have been more wrong. This is a killer Chardonnay drinking way above its price ta. and the 2015 vintage follows suit. You can check out the wine’s historical ratings here on the Wine.com pag. and they are consistently in the low to mid 90’s which is beyond impressive. Wine Enthusiast really went bonkers for the 2015 vintage of this win. giving it 94 points and naming it an Editor’s Choice. So I guess the word is getting out. I’m surprised these are still lingering around particularly at such low prices. I’m going to scoop a few more up for sure if I can. Let’s get into it. The wine pours a golden yellow in the glass. Floral nose with spice note. a little orange peel and baked apple pie; flavors of green appl. pear and citrus fruit; medium plus in body with a long spicy finish; mineral notes lingering in the mouth. Just a super interesting wine drink after drink. White wine and Chardonnay fans need to be on the look out for this one. I have a feeling these are going to go fast once the word gets out. This is a highly acclaimed wine at the lowest price I’ve ever seen it. Clearly one that we will put on our Top Picks list. CostcoWineBlog.com Rating: 92 Point. Costco item number: 122787. Purchased at Costco in: Atlant. G. Alc. 14.1. We’re super curious to hear your opinion on this and other wines we revie. so share your thoughts in theCostco Wine Blog Forums.,"September 22, 2018",Chardonnay
2015 Walt Blue Jay Anderson Valley Pinot Noir,Super happy I tried this Walt Pinot Noir from Anderson Valley. It was $36.99 at my Costc. so I was really hoping for a great and memorable win. and that’s exactly what I found. Retail price on this bottle ranges from $40-$46 if you bounce between Wine.com and Wine Enthusiast; plus the latter gave the wine a nice 92 point rating. And I might fall right in that ball park. This is some impressive Pinot that is definitely a major step up in terms of complexity and depth from what you find in the $15-$20 range. There’s a lot going on right from the get go; the aromatics can be picked up several inches from the glass; all spic. nutme. a little smoke and anise; stick your nose deeper in the glass and the aromas are magnified. I was impressed from the start with this wine. In the mout. it’s a meaty and smoky Pino. loaded with character and heft that will attract fans of more robust red wines. So all you Cab/Bordeaux drinkers out ther. here’s a solid U.S. Pinot built just for you. That sai. there’s finesse to the presentation; flavors of blueberr. blackberr. black tea and cola; medium to full in body but lightly tannic. The real beauty here is the finish. It goes on and on. A beautiful lingering finish that is undeniable and clearly what I will remember most about this wine. Rockstar winemaker Kathryn Hal. proprietor of Hall Wine. is also the proprietor of Walt Wine. and as indicated on the back of the label she produces the Walt wine series in celebration of her parents of the same name. I’ve always enjoyed Hall wine. and now I have a whole new line to explore and enjoy. This is an instant addition to our Top Picks list. Sur. this wine isn’t cheap at $3. but is it worth it? In my opinio. I’d say a resounding yes. If you’re considering buying two $15 bottles of Pinot or one bottle of thi. I’d say in this cas. you’d better served swimming a little further upstream. CostcoWineBlog.com Rating: 91 point. Costco item number:82937. Purchased at Costco in: Atlant. G. Alc. 14.9. Let us know if you agree or disagree about this and other wines we review in theCostco Wine Blog Forums. We have a great community of Costco wine drinkers who follow this site. Don’t be bashful. Head over to the forums and share your opinions. They benefit all of us. Als. if you’re thinking about buying a book about Spanish win. you need to wait a couple of weeks. We are so so close to releasing our latest wine book. It’s the best one we’ve done ye. with over two years of effort put into it. We can’t wait to share it with you.,"September 19, 2018",Pinot Noir
2016 Marcelle de Changey Puligny-Montrachet,I had a few readers in the forumsrequest reviews for Costco wines that are in the $30-$40 rang. so although many of our reviews focus on good bargain finds under $2. I’m going to try to sprinkle a few more expensive wines in the mix now and then. This white Burgundy jumped out at me right a way as a perfect candidate along these lines. It was priced at $41.9. which is fair for a wine from Puligny-Montrache. and I was a little surprised to see it in my Costco (it’s been quite a few years since we last reviewed a wine from this region). Puligny-Montrachet and and its neighbo. Chassagne-Montrache. are well known appellations in Cotes du Beaune with a reputation for producing fine Chardonnay; and that’s exactly what we have here. A beautifu. balanced and perfectly structured wine that’s well worth it’s $42 price tag. Complex throughou. the nose starts with citrus frui. butte. and subtle oak; flavors of appl. orange with a touch of butter and vanilla towards the finish; medium in body with a little minerality and a crisp finish. The story here is really the balance; it’s hard to stop drinking this wine; it’s elegant and interesting every sip. Be sure to not over chill it though; pull it out of the fridge for 15 minutes before you serve i. or if you have a wine fridg. serve it right around the 55 degree cellar temp and you can really taste the nuances that can be masked by a wine that is served too cold. We didn’t pair this wine with any food; rather we enjoyed it while prepping a meal and didn’t intend for two of us to finish it off so quickly; but there are worse problems you could have. I think you can really could enjoy this wine with a wide range of cuisine including chicken dishe. salad. cheeses and almost any seafood. I’m a big fan and wish I had a cellar full of these bottles to enjoy more frequently; so if you’re looking for a nice Chardonnay to celebrate a special occasion or enjoy with a special mea. this is a great pick. And it’s one that I think will surprise people who find most Chardonnays to be too oaky and buttery. This is a perfect example of how great Chardonnay is made. We’ll be adding this wine to our Top Picks list for sure. CostcoWineBlog.com Rating: 91 point. Costco item number:127111. Purchased at Costco in: Atlant. G. Alc. 13.5%,"September 15, 2018",Chardonnay
2016 Kirkland Signature Columbia Valley Cabernet Sauvignon,It’s been a little while since we got our hands on one of the Kirkland Columbia Valley offerings from Washington State. The last one was this 2015 Cab-Merlot blend that we thought was pretty goo. and before that we had to dig into the vaults to find this Columbia Valley Bordeaux blend we really enjoyed too. Now we get the straight Cab from the ’16 vintage and Costco’s price is only $8.9. which I’ll say up front here is a steal for a wine like this. There are a few Kirkland Cabs in stores right now to choose fro. including the Alexander Valley that we recently reviewed (good choice). I’ve also heard the new Kirkland Stags Leap is out there but I have yet to see it. But among the selection I’ve tasted in stores right no. this Columbia Valley bottl. for $9 might be the best choice. It’s some good quality juice at a really low price point. Ripe blueberries on the nos. with juicy frui. mostly dar. blackberr. blueberry with notes of anise and leather; deep lasting finish that is super dry. This wine drinks way above its pay grade. We paired with some meatballs (Costco ground beef + ground biso. delicious) on an overcast summer da. and it was a nice match. It’s a good one for a summer BBQ too. I love when the back of the label lists the winemake. which we learn in this case is Brandon Rice. A quick Google sleuth reveals he’s the winemaker at Wahluke Wine Compan. which is owned byMilbrandt (who has produced other Kirkland wines in the past). So we have a good team behind the scenes on this one. This is probably one of the better Kirkland wine buys floating around in stores right no. so I plan to scoop a few up to hold on to for the cooler months. I’m going to add to our Top Picks list because of the high quality to low price ratio. CostcoWineBlog.com Rating: 88 Point. Costco item number: 122684. Purchased at Costco in: Atlant. G. Alc. 14.5. Share your opinion and see what others have to say about this and other wines we review in theCostco Wine Blog Forums.,"August 18, 2018",Cabernet Sauvignon
2015 Joel Gott Cabernet Sauvignon,The Joel Gott Cabernet Sauvignon is a Costco staple. Every club that I’ve ever been to carries it. Some of them stock it in the wooden bins on what I like to call the “tables.” Other clubs prominently display pallets of it on their end caps. The price tends to always remain the sam. hovering somewhere between $13-$15 per bottle. I must say that I used to like this wine more. The 2013 vintage was really good. I still have a bottle or two left that I open from time to tim. and it has held well. Because each cuvee is blended from juice that comes from all over Californi. there are bound to be variations between vintages. The current release (2015) lists the appellation as “Californi.” followed by eight different areas such as Nap. Sonom. Montere. and Lodi. This wine i. in a wa. a tour-of-California Cabernet. The tech sheet explains that it “reflects what each appellation gives to the wine.. Whatever the reason given for using grapes from so many different area. the juice is good and ultimately I don’t judge the wine as being an overpriced and mass-produced California blend. It’s 100% Cabernet and still manages to be smooth and subtl. striking the right balance between tannic structure and dark berry flavors. This is a great wine to have on its own or with an appropriate Cabernet pairing (I’m looking at yo. Filet Mignon). Costco Filet Mignons are kille. by the wa. in both flavor and value. Aged in 25% new American Oa. which lends bolder flavors than French oak doe. hints of baking spices such as anise and clove mingle with subtle toasted coconut aromas. A core of dark berry and cassis precedes a lingering finish. The alcohol content is right where it should be at a friendly 13.9%. Too many California Cabernets these days are overly “ho.” with ABVs at 15% and up. I personally don’t like to see stars after drinking only one glass of wine. While I’m not hoarding bottles of the latest vintage like I was a couple of years ag. I would buy this wine again and be confident that I’m getting my money’s worth. Costco sells this brand at a price that’s well below most grocery stores and also manages to edge out competing wine retailers in my area. I’ve yet to see this wine on a rebat. and I doubt that it will ever be delete. but who knows. My advice is that if you’re looking for a better-than-a-weekday wine or something nice to go with your Friday night dinne. put a bottle of this in your cart next time you’re at the club. CostcoWineBlog.com Rating: 90 Point. Costco Item Number: 23676. Alc. 13.9. Share your opinion and see what others have to say about this and other wines we review in theCostco Wine Blog Forums.,"August 11, 2018",Cabernet Sauvignon
2016 Moniker La Ribera Single Vineyard Chardonnay,This is a lovely wine that caught me off guard with its pleasantness because I really didn’t know what to expect. The single vineyard designation caught my eye but I had never heard of the producer befor. and generally don’t go to Mendocino when I’m looking for Chardonnay value. But that’s exactly what I found. This bottle was $12.99 at Costc. which is great considering retail is $2. and it’s online closer to $18 most places. It also pulled down a 90 point rating from Wine Enthusias. which I agree with wholeheartedly. On the pou. this wine is super ligh. see through almost like a Pinot Grigio. It’s deceptive to the eye because once you get going there’s a bi. full flavored and delightful Chardonnay in here. The nose is a little woody with hints of citrus fruit; in the mout. loads of pea. citrus flavo. aprico. very bright and lovely fruit;A touch of oak and butter towards the finish with a little sour tart but not too much of any one thing at all. I really enjoyed this win. and highly recommend it for the price. I’m going to add to our top picks as this is just one of those bottles you could easily overloo. but one that is worth exploring for all types of white wine fan. not just Chard lovers. CostcoWineBlog.com Rating: 90 points (a CostcoWineBlog Top Pick. Costco item number: 117818. Purchased at Costco in: Atlant. G. Alc. 14. Share your opinion and see what others have to say about this and other wines we review in the Costco Wine Blog Forums.,"August 8, 2018",Chardonnay
2015 Firesteed Pinot Noir Willamette Valley,This is flat out an insane Costco wine buy for only $10.49. Good Pinot is hard to come by at this price poin. but this Firesteed bottle from Oregon’s Willamette Valley is really a standout. It’s funny because the wine steward at my Costco (who doesn’t know I do this site) was hounding me as I was selecting my wine. basically following me around and commenting on the wines I was choosing. I appreciate the effor. and he sincerely wanted me to find good wines. He never asked me why I was taking pictures of everythin. but I digress…Ironicall. this was the first bottle that he recommended and I already had one in my cart. When he saw i. he immediately sai. “buy more. Trust m. it’s excellent.. I should have listened to him. I hope this wine sticks around for a bi. and I really hope you can find it in the stores near you. It’s frankly worth going elsewhere to look for it if your Costco isn’t carrying i. or runs out. If you like Pino. this is a good place to invest. It’s light on the pou. and medium in body; aromatic nose that is floral with berries. In the mouth is a nice flavor profile highlighted by red frui. cherr. cranberr. red licoric. a little Dr Pepper and subtle pepper spice towards the close. It’s not an overbearing or complicated wine. Rathe. it’s simpl. direct and super easy to just enjoy sip after sip. We paired with a ground bison and cauliflower rice dish (all Costco to. love that ground bison) and it was delicious. This is one of those wines you can really pair with anything. Great bu. and Wine Enthusiast agreed awarding the wine 91 points and noting it’s retail $17 price ta. that makes Costco’s price look even that much better. CostcoWineBlog.com Rating: 90 points (a CostcoWineBlog recommended wine. Costco item number: 79957. Purchased at Costco in: Atlant. G. Alc. 13.8%,"August 1, 2018",Pinot Noir
